epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1055.8,0.85689,1.91702,1.02032,0.68794,0.99982,0.73115,0.64936,0.50562,1.23842,0.85693,0.000663636,0.000663636,0.000663636
2,2058.69,0.77875,1.14183,0.96395,0.68464,0.99267,0.74394,0.65391,0.52858,0.86249,0.86045,0.00130396,0.00130396,0.00130396
3,3055.93,0.73949,0.92507,0.95534,0.68944,1,0.79258,0.71033,0.47234,0.73246,0.84452,0.00191789,0.00191789,0.00191789
4,4056.23,0.71009,0.84719,0.94337,0.68983,1,0.80282,0.72259,0.47294,0.6959,0.84002,0.0018812,0.0018812,0.0018812
5,5040.82,0.69215,0.8304,0.94011,0.69118,1,0.84579,0.77637,0.42529,0.62631,0.83301,0.0018416,0.0018416,0.0018416
6,6034.11,0.66087,0.79488,0.92559,0.70929,0.96654,0.84437,0.75735,0.45338,0.63243,0.83589,0.001802,0.001802,0.001802
7,7019.67,0.633,0.77215,0.91867,0.75097,0.90806,0.8625,0.8012,0.38245,0.61638,0.82201,0.0017624,0.0017624,0.0017624
8,8004.65,0.62636,0.7618,0.91411,0.71382,0.98287,0.854,0.78554,0.3951,0.61898,0.8218,0.0017228,0.0017228,0.0017228
9,8988.65,0.60949,0.75696,0.9145,0.70867,0.98569,0.83953,0.77586,0.38052,0.60041,0.8187,0.0016832,0.0016832,0.0016832
10,9972.37,0.598,0.7543,0.9126,0.69576,0.99467,0.85656,0.79688,0.38101,0.60282,0.82207,0.0016436,0.0016436,0.0016436
11,10958.1,0.59134,0.74725,0.90808,0.70707,0.97806,0.85947,0.80451,0.35304,0.59399,0.81145,0.001604,0.001604,0.001604
12,11942,0.58412,0.73787,0.90557,0.7218,0.95167,0.86608,0.8117,0.35348,0.59593,0.8148,0.0015644,0.0015644,0.0015644
13,12925.8,0.57365,0.71679,0.90504,0.74038,0.96283,0.86423,0.81618,0.35037,0.60068,0.8112,0.0015248,0.0015248,0.0015248
14,13909.3,0.56422,0.71891,0.90881,0.71784,0.99257,0.87734,0.82734,0.34607,0.55638,0.80835,0.0014852,0.0014852,0.0014852
15,14893.5,0.56283,0.71596,0.90378,0.74676,0.96469,0.86274,0.81448,0.34134,0.56855,0.80744,0.0014456,0.0014456,0.0014456
16,15877.5,0.55411,0.72225,0.90229,0.76116,0.94052,0.87417,0.82227,0.33731,0.55761,0.80968,0.001406,0.001406,0.001406
17,16861.5,0.55566,0.70049,0.89662,0.72789,0.98448,0.88294,0.8338,0.33847,0.5471,0.80714,0.0013664,0.0013664,0.0013664
18,17845.8,0.55008,0.71197,0.89463,0.71728,0.9777,0.88995,0.847,0.33061,0.55176,0.80832,0.0013268,0.0013268,0.0013268
19,18829.9,0.55011,0.70406,0.90129,0.75301,0.92565,0.9013,0.84919,0.33952,0.54305,0.8096,0.0012872,0.0012872,0.0012872
20,19813.8,0.54555,0.71788,0.89993,0.75054,0.94796,0.89487,0.84635,0.32793,0.53064,0.80517,0.0012476,0.0012476,0.0012476
21,20797.8,0.54018,0.7048,0.89831,0.75181,0.95167,0.89753,0.85417,0.32826,0.52539,0.80619,0.001208,0.001208,0.001208
22,21782.4,0.52223,0.68369,0.8889,0.74988,0.96967,0.90474,0.85791,0.33955,0.52534,0.80895,0.0011684,0.0011684,0.0011684
23,22766,0.53254,0.68858,0.89679,0.80333,0.91078,0.90923,0.86336,0.31462,0.52165,0.80552,0.0011288,0.0011288,0.0011288
24,23750.1,0.52278,0.68267,0.89688,0.78062,0.93918,0.91367,0.86055,0.33567,0.51728,0.80595,0.0010892,0.0010892,0.0010892
25,24733.9,0.52518,0.68401,0.89628,0.78177,0.91822,0.90139,0.85812,0.31284,0.51498,0.8034,0.0010496,0.0010496,0.0010496
26,25717.7,0.51053,0.67118,0.8862,0.77246,0.93392,0.90691,0.86279,0.31103,0.51953,0.80343,0.00101,0.00101,0.00101
27,26701.9,0.51072,0.6803,0.88843,0.76708,0.93044,0.90221,0.86216,0.30243,0.52932,0.80193,0.0009704,0.0009704,0.0009704
28,27686.3,0.49943,0.66154,0.88779,0.7837,0.92938,0.90489,0.86892,0.28872,0.51817,0.79903,0.0009308,0.0009308,0.0009308
29,28669.8,0.50049,0.66895,0.89037,0.74819,0.9368,0.9083,0.8755,0.30032,0.53022,0.80236,0.0008912,0.0008912,0.0008912
30,29653.9,0.5023,0.68402,0.88846,0.79771,0.87957,0.91259,0.87637,0.30448,0.55875,0.8007,0.0008516,0.0008516,0.0008516
31,30637.6,0.49766,0.66284,0.89759,0.75067,0.98141,0.91096,0.87731,0.29166,0.48834,0.80003,0.000812,0.000812,0.000812
32,31621.7,0.49505,0.65805,0.88513,0.76135,0.96061,0.90643,0.87591,0.29922,0.49122,0.79945,0.0007724,0.0007724,0.0007724
33,32605.5,0.49293,0.66212,0.88729,0.76182,0.93935,0.90889,0.86997,0.29525,0.50677,0.79962,0.0007328,0.0007328,0.0007328
34,33589.2,0.48774,0.65468,0.88824,0.74353,0.97398,0.90824,0.88048,0.27477,0.49411,0.79646,0.0006932,0.0006932,0.0006932
35,34573.5,0.48624,0.65803,0.88406,0.78299,0.91208,0.90571,0.87636,0.27486,0.50279,0.79468,0.0006536,0.0006536,0.0006536
36,35557.1,0.46712,0.63326,0.87738,0.76562,0.94717,0.90952,0.87264,0.28868,0.51279,0.79621,0.000614,0.000614,0.000614
37,36540.6,0.46992,0.64783,0.88004,0.77799,0.9145,0.90326,0.87012,0.27732,0.49014,0.79631,0.0005744,0.0005744,0.0005744
38,37524.6,0.47028,0.64603,0.88005,0.76855,0.95052,0.91379,0.88399,0.27822,0.47901,0.79558,0.0005348,0.0005348,0.0005348
39,38509,0.46947,0.64133,0.88124,0.78018,0.94994,0.91945,0.88199,0.28644,0.49746,0.7981,0.0004952,0.0004952,0.0004952
40,39493.1,0.46817,0.63697,0.88093,0.80672,0.89993,0.91864,0.88818,0.28276,0.48568,0.79711,0.0004556,0.0004556,0.0004556
41,40461.3,0.35444,0.53447,0.7989,0.72358,0.96654,0.90259,0.86382,0.31472,0.50136,0.80239,0.000416,0.000416,0.000416
42,41429.2,0.34226,0.52377,0.80485,0.8026,0.86617,0.90774,0.87292,0.30574,0.49022,0.80028,0.0003764,0.0003764,0.0003764
