epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.25,1.56491,2.86549,1.38859,0.01152,0.93827,0.32896,0.2026,1.18868,2.86624,1.04063,0.0001,0.0001,0.0001
2,167.039,1.53818,2.74416,1.30433,0.01167,0.95062,0.432,0.26111,1.21607,2.88121,1.05221,0.000215644,0.000215644,0.000215644
3,201.368,1.51842,2.51607,1.30062,0.01212,0.98765,0.50172,0.28554,1.27076,2.83612,1.06053,0.000326536,0.000326536,0.000326536
4,235.233,1.49976,2.26327,1.2851,0.01227,1,0.51426,0.31716,1.23295,2.75641,1.05762,0.000432676,0.000432676,0.000432676
5,269.091,1.42724,2.03599,1.22791,0.43293,0.67901,0.55482,0.33318,1.2113,2.65639,1.0686,0.000534064,0.000534064,0.000534064
6,303.633,1.46442,1.97919,1.26179,0.77281,0.37037,0.57472,0.31578,1.27349,2.56851,1.09588,0.0006307,0.0006307,0.0006307
7,339.433,1.47459,1.9265,1.28106,0.69014,0.44001,0.52531,0.29282,1.2589,2.50758,1.09874,0.000722584,0.000722584,0.000722584
8,379.002,1.44626,1.77078,1.28033,0.62989,0.3572,0.47057,0.28212,1.20189,2.45485,1.04468,0.000809716,0.000809716,0.000809716
9,423.43,1.47943,1.8478,1.27411,0.67518,0.33361,0.48572,0.29709,1.23236,2.46296,1.07316,0.000892096,0.000892096,0.000892096
10,459.958,1.44899,1.78412,1.27067,0.70247,0.41975,0.55517,0.32461,1.22306,2.35247,1.05409,0.000969724,0.000969724,0.000969724
11,494.979,1.38936,1.71444,1.22868,0.54074,0.41975,0.50521,0.3141,1.22826,2.26233,1.06384,0.0010426,0.0010426,0.0010426
12,530.693,1.42381,1.6704,1.23281,0.52142,0.41975,0.48854,0.30747,1.26908,2.23711,1.10631,0.00111072,0.00111072,0.00111072
13,565.741,1.45137,1.75127,1.27639,0.62986,0.62963,0.58194,0.34136,1.30218,2.10566,1.11913,0.0011741,0.0011741,0.0011741
14,599.797,1.42764,1.67327,1.23694,0.58945,0.60494,0.64634,0.37792,1.29857,2.00363,1.11999,0.00123272,0.00123272,0.00123272
15,634.038,1.39737,1.65348,1.21425,0.61251,0.60494,0.64028,0.37724,1.30904,1.97866,1.1384,0.00128658,0.00128658,0.00128658
16,669.807,1.4418,1.6589,1.25702,0.56583,0.65432,0.63473,0.38906,1.32394,1.87916,1.14766,0.0013357,0.0013357,0.0013357
17,706.329,1.39311,1.57617,1.23868,0.54778,0.67299,0.64632,0.39491,1.32961,1.8298,1.15202,0.0013664,0.0013664,0.0013664
18,740.778,1.38905,1.59583,1.21967,0.5837,0.64048,0.64858,0.36213,1.34295,1.80384,1.15482,0.0013268,0.0013268,0.0013268
19,774.684,1.38962,1.54346,1.22586,0.56646,0.66139,0.63428,0.34771,1.3171,1.75797,1.14257,0.0012872,0.0012872,0.0012872
20,808.348,1.40244,1.53863,1.22105,0.60741,0.68766,0.65695,0.35603,1.30318,1.7287,1.13965,0.0012476,0.0012476,0.0012476
21,842.427,1.37285,1.51402,1.21671,0.56234,0.7037,0.63689,0.35355,1.3178,1.72404,1.14877,0.001208,0.001208,0.001208
22,876.057,1.40505,1.524,1.20787,0.52386,0.71605,0.60647,0.33687,1.32877,1.69228,1.15449,0.0011684,0.0011684,0.0011684
23,909.86,1.37259,1.48972,1.20847,0.54468,0.7037,0.60655,0.33077,1.34131,1.65397,1.1526,0.0011288,0.0011288,0.0011288
24,943.733,1.34873,1.53565,1.18162,0.55934,0.68951,0.60706,0.36066,1.31823,1.60971,1.12112,0.0010892,0.0010892,0.0010892
25,977.387,1.36451,1.53478,1.1913,0.55582,0.67901,0.62198,0.37076,1.31742,1.60698,1.12433,0.0010496,0.0010496,0.0010496
26,1011.62,1.31187,1.45448,1.17099,0.60361,0.66667,0.63832,0.38211,1.32169,1.59611,1.11602,0.00101,0.00101,0.00101
27,1045.2,1.34704,1.44073,1.23097,0.61274,0.70323,0.64194,0.38415,1.31389,1.60544,1.11704,0.0009704,0.0009704,0.0009704
28,1079.57,1.31092,1.38807,1.17009,0.60076,0.7284,0.63926,0.38343,1.29672,1.58609,1.1097,0.0009308,0.0009308,0.0009308
29,1113.76,1.331,1.41999,1.19,0.5747,0.7037,0.62427,0.38074,1.28892,1.56855,1.10345,0.0008912,0.0008912,0.0008912
30,1148.02,1.30345,1.37042,1.15927,0.55089,0.69136,0.63581,0.395,1.31971,1.53625,1.11595,0.0008516,0.0008516,0.0008516
31,1181.44,1.28751,1.37193,1.18216,0.55662,0.71605,0.63245,0.38605,1.3298,1.55635,1.12219,0.000812,0.000812,0.000812
32,1216.44,1.3336,1.44333,1.21235,0.6029,0.73103,0.64121,0.39967,1.33059,1.56559,1.11562,0.0007724,0.0007724,0.0007724
33,1250.27,1.27277,1.39561,1.15913,0.59297,0.71944,0.64829,0.40565,1.33284,1.54335,1.11169,0.0007328,0.0007328,0.0007328
34,1284.07,1.31611,1.42752,1.1644,0.5997,0.69136,0.64781,0.39095,1.35519,1.51884,1.10988,0.0006932,0.0006932,0.0006932
35,1317.37,1.24552,1.3465,1.14122,0.63622,0.66935,0.65488,0.40851,1.34138,1.50586,1.10273,0.0006536,0.0006536,0.0006536
36,1351,1.26999,1.35862,1.15588,0.64851,0.66667,0.66689,0.42708,1.34194,1.44792,1.09335,0.000614,0.000614,0.000614
37,1384.61,1.30031,1.34928,1.17505,0.62144,0.7037,0.67398,0.41504,1.35403,1.44511,1.10067,0.0005744,0.0005744,0.0005744
38,1418.2,1.31127,1.42323,1.16732,0.62383,0.71659,0.67456,0.42466,1.33452,1.45802,1.10053,0.0005348,0.0005348,0.0005348
39,1451.9,1.28125,1.37877,1.15741,0.62218,0.7037,0.6775,0.42605,1.31954,1.45943,1.09685,0.0004952,0.0004952,0.0004952
