epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.989608,1.61906,2.84876,1.41545,0.00333,0.07143,0.00179,0.00054,2.24999,3.42001,1.12716,0,0,0
2,1.94593,1.51509,2.7282,1.38559,0.00333,0.07143,0.00179,0.00054,2.23558,3.41818,1.12409,1.9604e-05,1.9604e-05,1.9604e-05
3,2.85623,1.39663,2.7704,1.15433,0.00333,0.07143,0.00179,0.00054,2.22524,3.4191,1.12361,3.8416e-05,3.8416e-05,3.8416e-05
4,3.76986,2.28377,3.02351,1.79988,0.00333,0.07143,0.00179,0.00054,2.19843,3.41929,1.11949,5.6436e-05,5.6436e-05,5.6436e-05
5,4.70588,1.64883,3.00608,1.23762,0.00333,0.07143,0.00179,0.00054,2.16357,3.42101,1.11454,7.3664e-05,7.3664e-05,7.3664e-05
6,5.6128,2.57025,3.22826,1.77584,0.00333,0.07143,0.00179,0.00054,2.12216,3.42729,1.11431,9.01e-05,9.01e-05,9.01e-05
7,6.50351,1.60787,2.5354,1.54156,0.00333,0.07143,0.00179,0.00054,2.05951,3.42884,1.10404,0.000105744,0.000105744,0.000105744
8,7.42113,2.29487,3.07902,1.54098,0.00667,0.14286,0.00381,0.00076,2.01184,3.43069,1.09991,0.000120596,0.000120596,0.000120596
9,8.35899,1.81351,2.88676,1.60092,0.00333,0.07143,0.00179,0.00036,1.96869,3.43342,1.09635,0.000134656,0.000134656,0.000134656
10,9.27543,1.24279,2.68025,1.11468,0.00667,0.14286,0.00382,0.00076,1.90837,3.43577,1.08874,0.000147924,0.000147924,0.000147924
11,10.2955,1.98505,3.11344,1.40288,0.01,0.21429,0.0061,0.00099,1.84914,3.44,1.08375,0.0001604,0.0001604,0.0001604
12,11.5422,1.44935,2.71521,1.31273,0.01,0.21429,0.00612,0.001,1.7826,3.44364,1.07887,0.000172084,0.000172084,0.000172084
13,12.593,1.77887,3.13422,1.3659,0.00667,0.14286,0.00389,0.00057,1.74074,3.45117,1.07618,0.000182976,0.000182976,0.000182976
14,13.5674,1.29862,2.68591,1.33829,0.00667,0.14286,0.00392,0.00057,1.68792,3.46298,1.07277,0.000193076,0.000193076,0.000193076
15,14.4704,1.37447,2.53479,1.29804,0.01,0.21429,0.00608,0.00135,1.66303,3.46682,1.0675,0.000202384,0.000202384,0.000202384
16,15.387,1.64861,2.90047,1.52388,0.00667,0.14286,0.00385,0.00095,1.67393,3.4664,1.07109,0.0002109,0.0002109,0.0002109
17,16.2946,1.33319,2.59302,1.20367,0.00667,0.14286,0.00386,0.00095,1.7142,3.46937,1.08002,0.000218624,0.000218624,0.000218624
18,17.1785,1.74551,2.76304,1.3719,0.00667,0.14286,0.00386,0.00095,1.7142,3.46937,1.08002,0.000225556,0.000225556,0.000225556
19,18.0966,1.33924,2.63792,1.30142,0.01,0.21429,0.00609,0.00118,1.75571,3.47439,1.0944,0.000231696,0.000231696,0.000231696
20,18.9593,1.6458,2.26089,1.47654,0.01,0.21429,0.00609,0.00118,1.75571,3.47439,1.0944,0.000237044,0.000237044,0.000237044
21,19.8603,1.50296,2.29803,1.30968,0.00667,0.14286,0.00387,0.00057,1.81472,3.47631,1.11092,0.0002416,0.0002416,0.0002416
22,20.8927,1.34256,2.20268,1.24907,0.00667,0.14286,0.00387,0.00057,1.81472,3.47631,1.11092,0.000245364,0.000245364,0.000245364
23,21.9926,1.36542,2.23378,1.16829,0.00667,0.14286,0.00389,0.00057,1.85719,3.48155,1.12316,0.000248336,0.000248336,0.000248336
24,22.9543,1.73756,3.05261,1.35842,0.00667,0.14286,0.00389,0.00057,1.85719,3.48155,1.12316,0.000250516,0.000250516,0.000250516
25,24.0042,1.80628,2.90679,1.26371,0.00667,0.14286,0.00394,0.00058,1.86603,3.48654,1.12521,0.000251904,0.000251904,0.000251904
26,24.8709,1.11446,2.34249,1.19912,0.00667,0.14286,0.00394,0.00058,1.86603,3.48654,1.12521,0.0002525,0.0002525,0.0002525
27,25.794,1.48579,2.3175,1.36777,0.01667,0.35714,0.01139,0.00294,1.85713,3.48963,1.1271,0.000252304,0.000252304,0.000252304
28,26.6615,1.49909,2.49958,1.31381,0.01667,0.35714,0.01139,0.00294,1.85713,3.48963,1.1271,0.000251316,0.000251316,0.000251316
29,27.6117,1.58429,2.56995,1.37263,0.01333,0.28571,0.00864,0.00285,1.85125,3.49286,1.12601,0.000249536,0.000249536,0.000249536
30,28.5079,1.65295,2.57266,1.40789,0.01333,0.28571,0.00864,0.00285,1.85125,3.49286,1.12601,0.000246964,0.000246964,0.000246964
31,29.4269,1.57372,2.73165,1.45117,0.01333,0.28571,0.00884,0.00264,1.86178,3.49014,1.12816,0.0002436,0.0002436,0.0002436
32,30.388,1.59668,2.77736,1.40766,0.01333,0.28571,0.00884,0.00264,1.86178,3.49014,1.12816,0.000239444,0.000239444,0.000239444
33,31.4952,1.22982,2.31333,1.09114,0.01667,0.35714,0.01164,0.00648,1.87851,3.47986,1.1337,0.000234496,0.000234496,0.000234496
34,32.4838,1.35399,2.3669,1.29239,0.01667,0.35714,0.01164,0.00648,1.87851,3.47986,1.1337,0.000228756,0.000228756,0.000228756
35,33.5529,1.44785,2.49715,1.45546,0.02,0.42857,0.01548,0.00688,1.87377,3.47331,1.13221,0.000222224,0.000222224,0.000222224
36,34.4214,1.56016,2.33624,1.25767,0.02,0.42857,0.01548,0.00688,1.87377,3.47331,1.13221,0.0002149,0.0002149,0.0002149
