epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,978.58,0.95253,2.00388,1.11263,0.64791,0.95547,0.70502,0.58565,0.64605,1.41596,0.95265,0.000663636,0.000663636,0.000663636
2,1942.31,0.92331,1.38855,1.08233,0.64432,0.96538,0.74226,0.62627,0.60819,0.98642,0.93863,0.00130396,0.00130396,0.00130396
3,2904.65,0.87916,1.1309,1.06357,0.65406,0.97308,0.7626,0.65167,0.57036,0.87524,0.92072,0.00191789,0.00191789,0.00191789
4,3868.08,0.85473,1.05023,1.04921,0.6557,0.96923,0.74525,0.63401,0.59726,0.81859,0.9408,0.0018812,0.0018812,0.0018812
5,4831.84,0.83509,1.01436,1.04589,0.66921,0.92308,0.79551,0.68358,0.55835,0.77866,0.91627,0.0018416,0.0018416,0.0018416
6,5795.07,0.80372,0.98861,1.03256,0.65145,0.98846,0.80126,0.69272,0.53957,0.78953,0.9103,0.001802,0.001802,0.001802
7,6758.8,0.79313,0.9684,1.02821,0.65315,0.98846,0.76539,0.66824,0.52279,0.74877,0.90661,0.0017624,0.0017624,0.0017624
8,7722.11,0.7716,0.95702,1.01478,0.67983,0.92286,0.81797,0.68779,0.51978,0.74026,0.90079,0.0017228,0.0017228,0.0017228
9,8684.32,0.76583,0.93108,1.02036,0.66873,0.9705,0.78663,0.68883,0.51056,0.73415,0.89967,0.0016832,0.0016832,0.0016832
10,9645.76,0.78659,0.965,1.03594,0.67563,0.96134,0.79208,0.68959,0.52628,0.73143,0.91211,0.0016436,0.0016436,0.0016436
11,10607.5,0.74455,0.92062,1.00596,0.69307,0.96538,0.76168,0.65985,0.50649,0.72815,0.90542,0.001604,0.001604,0.001604
12,11568.7,0.73209,0.93605,1.00365,0.69604,0.95769,0.80668,0.704,0.515,0.73078,0.89965,0.0015644,0.0015644,0.0015644
13,12530.6,0.73355,0.92505,1.00644,0.70472,0.95385,0.82081,0.73286,0.50384,0.71383,0.89697,0.0015248,0.0015248,0.0015248
14,13492.5,0.73369,0.91062,1.01469,0.66142,0.96925,0.78382,0.69874,0.48802,0.72367,0.89791,0.0014852,0.0014852,0.0014852
15,14453.2,0.73134,0.92396,1.00984,0.66531,0.97863,0.79378,0.71032,0.49512,0.71225,0.90057,0.0014456,0.0014456,0.0014456
16,15414.6,0.71766,0.91351,1.00493,0.69235,0.94346,0.83119,0.73354,0.48115,0.69234,0.89097,0.001406,0.001406,0.001406
17,16375.7,0.7185,0.90539,1.00323,0.71549,0.95756,0.80738,0.72383,0.48666,0.69755,0.88477,0.0013664,0.0013664,0.0013664
18,17336.5,0.71071,0.90524,1.00036,0.69435,0.94615,0.79961,0.69992,0.48329,0.69933,0.89163,0.0013268,0.0013268,0.0013268
19,18298.2,0.71621,0.9076,1.00448,0.68092,0.96033,0.79901,0.71285,0.47892,0.70569,0.89483,0.0012872,0.0012872,0.0012872
20,19258.9,0.71165,0.90359,0.99806,0.68757,0.95646,0.80619,0.7186,0.48241,0.70268,0.89278,0.0012476,0.0012476,0.0012476
21,20219.8,0.69883,0.89341,0.99448,0.70555,0.91238,0.8364,0.74184,0.47264,0.69766,0.89172,0.001208,0.001208,0.001208
22,21180.4,0.68993,0.87536,0.98999,0.66975,0.97692,0.81551,0.72258,0.48368,0.69783,0.89006,0.0011684,0.0011684,0.0011684
23,22141.6,0.69501,0.88531,0.99127,0.70194,0.95,0.81688,0.72539,0.4657,0.68815,0.88722,0.0011288,0.0011288,0.0011288
24,23102.4,0.69894,0.88479,0.99532,0.68976,0.96538,0.80307,0.72811,0.46091,0.6896,0.88583,0.0010892,0.0010892,0.0010892
25,24061.9,0.69068,0.88922,0.99588,0.69575,0.93462,0.817,0.73102,0.46572,0.688,0.88872,0.0010496,0.0010496,0.0010496
26,25022,0.68854,0.88152,0.99014,0.71531,0.92308,0.82772,0.74122,0.46539,0.68656,0.8907,0.00101,0.00101,0.00101
27,25983,0.66847,0.85999,0.9822,0.68753,0.93846,0.83288,0.73987,0.45863,0.68582,0.88672,0.0009704,0.0009704,0.0009704
28,26943.3,0.67578,0.86628,0.98606,0.70349,0.94615,0.82004,0.73059,0.45621,0.67864,0.88381,0.0009308,0.0009308,0.0009308
29,27907.9,0.67475,0.89134,0.98555,0.70127,0.91538,0.83941,0.76186,0.45209,0.68325,0.8833,0.0008912,0.0008912,0.0008912
30,28872.4,0.67741,0.8814,0.98818,0.71727,0.90745,0.82309,0.7357,0.45403,0.69916,0.88321,0.0008516,0.0008516,0.0008516
31,29836,0.66471,0.85982,0.97948,0.705,0.90997,0.83874,0.759,0.44658,0.67959,0.88085,0.000812,0.000812,0.000812
32,30799.4,0.66519,0.868,0.98442,0.70922,0.91154,0.82649,0.75237,0.44684,0.67347,0.88367,0.0007724,0.0007724,0.0007724
33,31763,0.66202,0.86141,0.98379,0.70534,0.93846,0.82405,0.74991,0.44447,0.66708,0.88096,0.0007328,0.0007328,0.0007328
34,32726.4,0.6667,0.86345,0.99542,0.69735,0.93462,0.83279,0.75125,0.44616,0.67391,0.88382,0.0006932,0.0006932,0.0006932
35,33690.2,0.66169,0.86131,0.98357,0.71401,0.91154,0.82295,0.72753,0.44647,0.6713,0.88303,0.0006536,0.0006536,0.0006536
36,34654.5,0.65234,0.84847,0.97966,0.70926,0.91952,0.81806,0.73983,0.43964,0.66872,0.87797,0.000614,0.000614,0.000614
37,35617.8,0.66402,0.86853,0.9916,0.6902,0.95114,0.82628,0.74642,0.44633,0.67191,0.88142,0.0005744,0.0005744,0.0005744
38,36581.3,0.64108,0.84128,0.97784,0.67608,0.96333,0.83282,0.74544,0.43488,0.67535,0.87979,0.0005348,0.0005348,0.0005348
39,37544.9,0.64933,0.85247,0.98427,0.70517,0.94231,0.84306,0.75946,0.44131,0.65971,0.87866,0.0004952,0.0004952,0.0004952
40,38508.3,0.64285,0.83596,0.97815,0.681,0.96154,0.81536,0.74343,0.44292,0.66783,0.88353,0.0004556,0.0004556,0.0004556
